ID,Type,Location,Direction,Transect,Type,row,distance_m,Rawdata,puf,filter,
WS-1-Paper filter,Filter,Southwest,Downwind,"Transect 3 (SW, downwind)",multiple,1,0.762,572,,3.238958097,
WS-2-Paper filter,Filter,Southwest,Downwind,"Transect 3 (SW, downwind)",multiple,2,1.524,82.9,,0.469422424,
WS-4-Paper filter,Filter,Southwest,Downwind,"Transect 3 (SW, downwind)",multiple,4,3.048,12.5,,0.070781427,
WS-8-Paper filter,Filter,Southwest,Downwind,"Transect 3 (SW, downwind)",multiple,8,6.096,14.6,,0.082672707,
WS-16-Paper filter,Filter,Southwest,Downwind,"Transect 3 (SW, downwind)",multiple,16,12.192,2.62,,0.014835787,
WS-32-Paper filter,Filter,Southwest,Downwind,"Transect 3 (SW, downwind)",multiple,32,24.384,0.705,,0.003992072,
E-1-Paper filter,Filter,East,Upwind,"Transect 4 (E, upwind)",multiple,1,0.762,41300,,233.8618347,
E-2-Paper filter,Filter,East,Upwind,"Transect 4 (E, upwind)",multiple,2,1.524,0.417,,0.002361268,
E-4-Paper filter,Filter,East,Upwind,"Transect 4 (E, upwind)",multiple,4,3.048,0,,0,
E-8-Paper filter,Filter,East,Upwind,"Transect 4 (E, upwind)",multiple,8,6.096,0,,0,
E-16-Paper filter,Filter,East,Upwind,"Transect 4 (E, upwind)",multiple,16,12.192,0,,0,
E-32-Paper filter,Filter,East,Upwind,"Transect 4 (E, upwind)",multiple,32,24.384,0,,0,
WN-1-Paper filter,Filter,Northwest,Downwind,"Transect 1 (NW, downwind)",multiple,1,0.762,28700,,162.5141563,
WN-2-Paper filter,Filter,Northwest,Downwind,"Transect 1 (NW, downwind)",multiple,2,1.524,6.33,,0.035843715,
WN-4-Paper filter,Filter,Northwest,Downwind,"Transect 1 (NW, downwind)",multiple,4,3.048,4.09,,0.023159683,
WN-8-Paper filter,Filter,Northwest,Downwind,"Transect 1 (NW, downwind)",multiple,8,6.096,3.3,,0.018686297,
WN-16-Paper filter,Filter,Northwest,Downwind,"Transect 1 (NW, downwind)",multiple,16,12.192,2.65,,0.015005663,
WN-32-Paper filter,Filter,Northwest,Downwind,"Transect 1 (NW, downwind)",multiple,32,24.384,7.84,,0.044394111,
WC-1-Paper filter,Filter,Westcentral,Downwind,"Transect 2 (W, downwind)",multiple,1,0.762,3230,,18.28992072,
WC-2-Paper filter,Filter,Westcentral,Downwind,"Transect 2 (W, downwind)",multiple,2,1.524,7.07,,0.040033975,
WC-4-Paper filter,Filter,Westcentral,Downwind,"Transect 2 (W, downwind)",multiple,4,3.048,3.99,,0.022593431,
WC-8-Paper filter,Filter,Westcentral,Downwind,"Transect 2 (W, downwind)",multiple,8,6.096,1.2,,0.006795017,
WC-16-Paper filter,Filter,Westcentral,Downwind,"Transect 2 (W, downwind)",multiple,16,12.192,2.68,,0.015175538,
WC-32-Paper filter,Filter,Westcentral,Downwind,"Transect 2 (W, downwind)",multiple,32,24.384,2.22,,0.012570781,
IN-ES-Paper filter,Filter,Inside,Within,,few,,0,1820000,,10305.77576,
IN-WS-Paper filter,Filter,Inside,Within,,few,,0,1470000,,8323.89581,
IN-WN-Paper filter,Filter,Inside,Within,,few,,0,1780000,,10079.2752,
IN-EN-Paper filter,Filter,Inside,Within,,few,,0,1970000,,11155.15289,
PUFF-N-Center-Puff,PUF,North,North,,few,,0,50.8,5.87962963,,
PUFF-S-Center-Puff,PUF,South,South,,few,,0,29.7,3.4375,,
PUFF-EAST-Puff,PUF,East,Upwind,,few,,0,1.04,0.12037037,,
PUFF-WEST-Puff,PUF,West,Downwind,,few,,0,4.52,0.523148148,,
WS-0-Paper filter,Filter,Southwest,Downwind,"Transect 3 (SW, downwind)",few,0,0,1950000,,11041.9026,
E-0-Paper filter,Filter,East,Upwind,"Transect 4 (E, upwind)",few,0,0,1340000,,7587.768969,0.01102311
WN-0-Paper filter,Filter,Northwest,Downwind,"Transect 1 (NW, downwind)",few,0,0,1470000,,8323.89581,
WC-0-Paper filter,Filter,Westcentral,Downwind,"Transect 2 (W, downwind)",few,0,0,1850000,,10475.65119,
