date,time,dir,wind speed,spd
7/3/2020,11:00,348.6,5.1,2.28
7/3/2020,12:00,356.9,4.1,1.83
7/3/2020,13:00,4.8,2.7,1.21
7/3/2020,14:00,32.9,2.3,1.03
7/3/2020,15:00,355.4,1.5,0.67
7/3/2020,16:00,35.5,2,0.89
7/3/2020,17:00,42.1,3.5,1.56
7/3/2020,18:00,63.1,2.3,1.03
7/3/2020,19:00,80.9,3.5,1.56
7/3/2020,20:00,98.2,5.7,2.55
7/3/2020,21:00,85,1.6,0.72
7/3/2020,22:00,78.1,0.8,0.36
7/3/2020,23:00,249.3,0.6,0.27
7/3/2020,24:00:00,31,0.1,0.04
7/4/2020,1:00,349.5,0.1,0.04
7/4/2020,2:00,342.1,0.1,0.04
7/4/2020,3:00,0,0,0.00
7/4/2020,4:00,2.3,0.1,0.04
7/4/2020,5:00,4.4,0.2,0.09
7/4/2020,6:00,14.7,1.9,0.85
7/4/2020,7:00,8.9,0.9,0.40
7/4/2020,8:00,75.7,2.1,0.94
7/4/2020,9:00,107.9,3.5,1.56
7/4/2020,10:00,132.7,3.8,1.70
7/4/2020,11:00,118,4.5,2.01
7/4/2020,12:00,95.6,4.3,1.92
7/4/2020,13:00,95.6,2.8,1.25
7/4/2020,14:00,126.4,3.1,1.39
7/4/2020,15:00,139.7,3.1,1.39
7/4/2020,16:00,114.1,1.6,0.72
7/4/2020,17:00,107.4,1.7,0.76
7/4/2020,18:00,111.3,3.2,1.43
7/4/2020,19:00,104.5,1.4,0.63
7/4/2020,20:00,96.6,0.1,0.04
7/4/2020,21:00,117,0.9,0.40
7/4/2020,22:00,337.1,0,0.00
7/4/2020,23:00,236.4,0.2,0.09
7/4/2020,24:00:00,281.2,0,0.00
7/5/2020,1:00,114.2,0,0.00
7/5/2020,2:00,198.2,0.2,0.09
7/5/2020,3:00,164.8,0,0.00
7/5/2020,4:00,0,0,0.00
7/5/2020,5:00,0,0,0.00
7/5/2020,6:00,0,0,0.00
7/5/2020,7:00,282.2,0.2,0.09
7/5/2020,8:00,277,2.8,1.25
7/5/2020,9:00,266.6,3.9,1.74
7/5/2020,10:00,278.9,5.1,2.28
