Date and Time   ,Temp A,Temp B,RH,Temp,Rainfall (in),dir,Wind Gust (mph),Wind Speed (mph),spd,Dew Point
2020-07-03 10:55,86.3,84.2,59.5,83.7,0,29,5,3,1.34,68.1
2020-07-03 11:00,86.9,84.5,60.7,83.9,0,122,5,2,0.89,68.9
2020-07-03 11:05,87.7,84.9,59,84.3,0,48,4,2,0.89,68.4
2020-07-03 11:10,88.2,85.6,59.7,85.1,0,127,5,1,0.45,69.5
2020-07-03 11:15,88,85,59.2,84.4,0,152,5,3,1.34,68.6
2020-07-03 11:20,88.1,85.3,57.4,84.9,0,169,5,2,0.89,68.2
2020-07-03 11:25,89.3,87.1,56.9,86.3,0,77,5,1,0.45,69.2
2020-07-03 11:30,88.6,85.6,56.3,84.8,0,76,3,1,0.45,67.5
2020-07-03 11:35,88.3,85.8,58.1,85.3,0,28,6,3,1.34,68.9
2020-07-03 11:40,87.6,85.6,57.5,85.1,0,57,5,2,0.89,68.4
2020-07-03 11:45,88.1,85.7,57.7,85.1,0,88,5,2,0.89,68.5
2020-07-03 11:50,88.8,86.3,56.4,85.8,0,225,4,1,0.45,68.5
2020-07-03 11:55,88.9,86.4,56.7,85.6,0,336,3,1,0.45,68.5
2020-07-03 12:00,89.6,86.3,56.5,85.9,0,155,4,1,0.45,68.6
2020-07-03 12:05,89.3,86.5,57.5,86.3,0,42,5,3,1.34,69.5
2020-07-03 12:10,88.5,86.2,56.7,85.8,0,53,5,3,1.34,68.7
2020-07-03 12:15,88.7,86.5,56.2,86.4,0,50,5,1,0.45,69
2020-07-03 12:20,89.7,87.4,56.4,86.5,0,60,7,2,0.89,69.1
2020-07-03 12:25,88.7,86.1,57.7,85.8,0,73,5,3,1.34,69.2
2020-07-03 12:30,89.4,86.6,56.5,86.2,0,49,4,1,0.45,68.9
2020-07-03 12:35,90.1,86.8,56.5,86.4,0,169,4,2,0.89,69.1
2020-07-03 12:40,90.7,87.8,57.5,87.1,0,275,3,0,0.00,70.3
2020-07-03 12:45,91.6,89,53.6,88.1,0,333,3,0,0.00,69.1
2020-07-03 12:50,90.8,88,56.4,86.8,0,43,7,3,1.34,69.4
2020-07-03 12:55,88.7,86.6,58.1,86.3,0,28,3,0,0.00,69.8
2020-07-03 13:00,91.2,88.6,56.7,87.3,0,72,5,2,0.89,70
2020-07-03 13:05,90.1,87.5,57.1,86.9,0,55,6,3,1.34,69.9
2020-07-03 13:10,90.2,87.3,56.5,87.1,0,43,5,1,0.45,69.8
2020-07-03 13:15,91.4,88.4,55.6,87.9,0,55,4,1,0.45,70
2020-07-03 13:20,92.3,89.1,54.8,88.2,0,112,2,0,0.00,69.9
2020-07-03 13:25,92,89.3,56.4,88.4,0,88,4,1,0.45,70.9
2020-07-03 13:30,91.6,89.1,54.9,89,0,84,5,1,0.45,70.7
2020-07-03 13:35,91.6,89,57.5,88.6,0,69,5,2,0.89,71.7
2020-07-03 13:40,92.6,89.5,55.8,88.6,0,70,4,2,0.89,70.8
2020-07-03 13:45,92,89.1,56.4,88.1,0,90,5,2,0.89,70.6
2020-07-03 13:50,91.8,88.8,57.2,88.3,0,63,5,2,0.89,71.2
2020-07-03 13:55,91.5,89.2,56.3,88,0,80,3,1,0.45,70.5
2020-07-03 14:00,90.1,87.6,57.4,86.7,0,135,5,2,0.89,69.8
2020-07-03 14:05,90.9,88.7,57.1,88.8,0,170,3,1,0.45,71.7
2020-07-03 14:10,92.3,89.7,56.4,89,0,86,6,2,0.89,71.5
2020-07-03 14:15,93.2,90.5,55.8,89.8,0,83,4,1,0.45,71.9
2020-07-03 14:20,93.4,90.4,54.2,89.7,0,55,5,2,0.89,71
2020-07-03 14:25,92.9,89.7,56.2,89.2,0,118,4,2,0.89,71.6
2020-07-03 14:30,92.5,89.7,55.8,89.1,0,67,7,2,0.89,71.3
2020-07-03 14:35,93.5,90.8,54.4,89.9,0,100,3,0,0.00,71.2
2020-07-03 14:40,91.7,89.3,57.2,88.5,0,48,6,2,0.89,71.4
2020-07-03 14:45,90.7,87.8,59.9,86.8,0,16,3,2,0.89,71.2
2020-07-03 14:50,90.4,88.3,58.4,88.3,0,36,3,2,0.89,71.9
2020-07-03 14:55,92.1,89.3,56,88.5,0,56,4,1,0.45,70.8
2020-07-03 15:00,88.2,87.1,59,85.9,0,74,5,2,0.89,69.9
2020-07-03 15:05,86.8,86.3,58.6,85.4,0,69,6,3,1.34,69.2
2020-07-03 15:10,89,88,55.2,88,0,52,3,1,0.45,69.9
2020-07-03 15:15,91.7,89,53.4,88.7,0,46,4,1,0.45,69.6
2020-07-03 15:20,92,89.6,55.1,88.9,0,59,5,1,0.45,70.7
2020-07-03 15:25,93.6,90.4,54.5,89.9,0,149,4,0,0.00,71.3
2020-07-03 15:30,93.6,90.4,55,89.6,0,56,5,1,0.45,71.3
2020-07-03 15:35,91.4,89.4,55.6,88.2,0,69,6,3,1.34,70.3
2020-07-03 15:40,89.2,88.5,56,87.7,0,79,2,0,0.00,70.1
2020-07-03 15:45,91.9,90.8,50.8,90.3,0,90,2,0,0.00,69.6
2020-07-03 15:50,92.5,90.1,55.6,89.5,0,43,6,2,0.89,71.5
2020-07-03 15:55,90.8,89,56.6,88.2,0,66,7,4,1.79,70.8
2020-07-03 16:00,90.2,88.5,56.7,87.7,0,63,5,3,1.34,70.4
2020-07-03 16:05,88.5,87.6,59.1,87,0,67,4,2,0.89,71
2020-07-03 16:10,90.4,88.9,56.1,88.5,0,64,3,1,0.45,70.9
2020-07-03 16:15,92.5,90.5,56.1,89.5,0,69,4,0,0.00,71.8
2020-07-03 16:20,91.9,89.6,54.9,88.5,0,64,3,1,0.45,70.2
2020-07-03 16:25,91.7,89.6,54.3,89,0,64,3,1,0.45,70.4
2020-07-03 16:30,91.6,89.5,54.9,88.6,0,67,4,1,0.45,70.3
2020-07-03 16:35,90.7,89.4,55.9,88.9,0,93,5,2,0.89,71.1
2020-07-03 16:40,90.1,88.4,56.5,88,0,31,4,2,0.89,70.6
2020-07-03 16:45,91.7,89.5,54.2,89,0,55,2,0,0.00,70.3
2020-07-03 16:50,92.2,89.2,54.2,88.6,0,196,4,1,0.45,69.9
2020-07-03 16:55,92,89.1,53.3,88.7,0,166,3,1,0.45,69.5
2020-07-03 17:00,91.6,89,52.9,88.6,0,19,3,1,0.45,69.2
2020-07-03 17:05,92.1,89.9,51.5,89.7,0,33,1,0,0.00,69.4
2020-07-03 17:10,92.2,90.5,52,89.4,0,77,3,1,0.45,69.5
2020-07-03 17:15,91.1,89.6,54.8,88.6,0,81,5,1,0.45,70.3
2020-07-03 17:20,91.4,89.9,55.6,89,0,88,3,1,0.45,71.1
2020-07-03 17:25,90.7,89,56.4,88.4,0,63,4,2,0.89,70.9
2020-07-03 17:30,88.9,88.5,56.7,87.1,0,117,3,1,0.45,69.9
2020-07-03 17:35,87.6,87.7,57,86.8,0,110,3,1,0.45,69.7
2020-07-03 17:40,90.6,90,53.7,89.7,0,108,1,0,0.00,70.7
2020-07-03 17:45,91.6,90.2,54.6,89.2,0,83,3,1,0.45,70.7
2020-07-03 17:50,89.8,88.7,56.6,87.6,0,74,2,0,0.00,70.3
2020-07-03 17:55,88.8,88.2,56.4,87.5,0,64,3,1,0.45,70.1
2020-07-03 18:00,89.3,88.2,56,87.8,0,48,3,1,0.45,70.1
2020-07-03 18:05,89.7,88.8,56.2,88.1,0,63,2,0,0.00,70.5
2020-07-03 18:10,89.6,88.9,57.7,88,0,104,4,1,0.45,71.2
2020-07-03 18:15,88.4,88.2,57.4,87.4,0,124,3,1,0.45,70.5
2020-07-03 18:20,88.6,88.4,58.5,87.8,0,125,1,0,0.00,71.4
2020-07-03 18:25,90.1,89.5,56.4,88.5,0,112,2,0,0.00,71
2020-07-03 18:30,89.8,88.9,58.2,87.9,0,70,4,1,0.45,71.4
2020-07-03 18:35,89.2,88.7,58.2,87.9,0,86,4,1,0.45,71.4
2020-07-03 18:40,89.8,89,57.1,88.6,0,84,2,0,0.00,71.5
2020-07-03 18:45,89.8,88.9,59.2,88.1,0,73,3,1,0.45,72.1
2020-07-03 18:50,88.9,88.2,59.8,87.2,0,73,4,1,0.45,71.5
2020-07-03 18:55,86.6,86,62.2,84.4,0,94,4,1,0.45,70
2020-07-03 19:00,83.6,83.4,62.8,82,0,87,11,2,0.89,68.1
2020-07-03 19:05,82.3,82.3,63.7,81.2,0,101,4,1,0.45,67.7
2020-07-03 19:10,81.5,81.7,64.3,80.7,0,94,2,0,0.00,67.5
2020-07-03 19:15,80.9,81.1,65.9,80.1,0,88,5,1,0.45,67.7
2020-07-03 19:20,80.1,80.3,67,79.3,0,90,7,2,0.89,67.4
2020-07-03 19:25,79.6,79.9,67.4,79,0,111,4,0,0.00,67.3
2020-07-03 19:30,79.1,79.6,67.5,78.6,0,146,2,0,0.00,66.9
2020-07-03 19:35,78.7,79.2,69.1,78.2,0,176,5,0,0.00,67.2
