Date and Time   ,Year,Period,Hour,dir,Wind speed,spd,A,h,B,H,H-h
2019-08-01 13:45,2019,0 to 24 h,0,105,1,0.45,82.8,28.2,79.8,26.6,
2019-08-01 14:00,2019,0 to 24 h,0.25,100,0,0.00,82.8,28.2,80,26.7,
2019-08-01 14:15,2019,0 to 24 h,0.5,128,1,0.45,84,28.9,79.8,26.6,
2019-08-01 14:30,2019,0 to 24 h,0.75,86,1,0.45,82.9,28.3,79.3,26.3,
2019-08-01 14:45,2019,0 to 24 h,1,76,1,0.45,83.1,28.4,79.4,26.3,
2019-08-01 15:00,2019,0 to 24 h,1.25,87,1,0.45,85.7,29.8,79.7,26.5,
2019-08-01 15:15,2019,0 to 24 h,1.5,81,1,0.45,85.3,29.6,79.9,26.6,
2019-08-01 15:30,2019,0 to 24 h,1.75,103,1,0.45,84,28.9,79.4,26.3,
2019-08-01 15:45,2019,0 to 24 h,2,94,1,0.45,84.6,29.2,80.1,26.7,
2019-08-01 16:00,2019,0 to 24 h,2.25,84,1,0.45,85.8,29.9,79.9,26.6,
2019-08-01 16:15,2019,0 to 24 h,2.5,103,0,0.00,86.9,30.5,80.1,26.7,
2019-08-01 16:30,2019,0 to 24 h,2.75,118,1,0.45,86.6,30.3,79.7,26.5,
2019-08-01 16:45,2019,0 to 24 h,3,101,1,0.45,85.9,29.9,79.9,26.6,
2019-08-01 17:00,2019,0 to 24 h,3.25,105,1,0.45,83.4,28.6,79.2,26.2,
2019-08-01 17:15,2019,0 to 24 h,3.5,127,1,0.45,83.7,28.7,78.8,26.0,
2019-08-01 17:30,2019,0 to 24 h,3.75,117,1,0.45,83.2,28.4,79.4,26.3,
2019-08-01 17:45,2019,0 to 24 h,4,141,1,0.45,82.5,28.1,78.7,25.9,
2019-08-01 18:00,2019,0 to 24 h,4.25,122,0,0.00,81.7,27.6,78.6,25.9,
2019-08-01 18:15,2019,0 to 24 h,4.5,125,0,0.00,80.9,27.2,78.9,26.1,
2019-08-01 18:30,2019,0 to 24 h,4.75,132,0,0.00,80.6,27.0,78.2,25.7,
2019-08-01 18:45,2019,0 to 24 h,5,129,0,0.00,79.1,26.2,77.3,25.2,
2019-08-01 19:00,2019,0 to 24 h,5.25,129,0,0.00,77.4,25.2,76.1,24.5,
2019-08-01 19:15,2019,0 to 24 h,5.5,115,0,0.00,75.2,24.0,75,23.9,
2019-08-01 19:30,2019,0 to 24 h,5.75,110,0,0.00,72.6,22.6,73.2,22.9,0.3
2019-08-01 19:45,2019,0 to 24 h,6,111,0,0.00,70.3,21.3,72.1,22.3,1.0
2019-08-01 20:00,2019,0 to 24 h,6.25,111,0,0.00,67.5,19.7,72,22.2,2.5
2019-08-01 20:15,2019,0 to 24 h,6.5,111,0,0.00,64.6,18.1,69.8,21.0,2.9
2019-08-01 20:30,2019,0 to 24 h,6.75,111,0,0.00,62.5,16.9,68,20.0,3.1
2019-08-01 20:45,2019,0 to 24 h,7,111,0,0.00,60.9,16.1,66.9,19.4,3.3
